"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3845","User login with correct email and password","LMS system","Wed May 20 10:55:44 UTC 2026","passed","Wed May 20 10:55:48 UTC 2026","Authorization","Authentication","",""
"","1639","Check displaying of dashboard page","LMS system","Wed May 20 10:55:57 UTC 2026","passed","Wed May 20 10:55:59 UTC 2026","Dashboard","Dashboard","",""
"","1132","Check displaying of empty courses list","LMS system","Wed May 20 10:55:50 UTC 2026","passed","Wed May 20 10:55:51 UTC 2026","Courses","Courses","",""
"","1770","User login with wrong email or password","LMS system","Wed May 20 10:55:42 UTC 2026","passed","Wed May 20 10:55:43 UTC 2026","Authorization","Authentication","",""
"","1713","User login with wrong email or password","LMS system","Wed May 20 10:55:42 UTC 2026","passed","Wed May 20 10:55:43 UTC 2026","Authorization","Authentication","",""
"","976","Navigation from login page to registration page","LMS system","Wed May 20 10:55:48 UTC 2026","passed","Wed May 20 10:55:49 UTC 2026","Authorization","Authentication","",""
"","1726","User login with wrong email or password","LMS system","Wed May 20 10:55:44 UTC 2026","passed","Wed May 20 10:55:46 UTC 2026","Authorization","Authentication","",""
"","1971","Registration with correct email, username and password","LMS system","Wed May 20 10:55:46 UTC 2026","passed","Wed May 20 10:55:48 UTC 2026","Registration","Authentication","",""
"","4617","Create course","LMS system","Wed May 20 10:55:51 UTC 2026","passed","Wed May 20 10:55:55 UTC 2026","Courses","Courses","",""
"","6201","Edit course","LMS system","Wed May 20 10:55:51 UTC 2026","passed","Wed May 20 10:55:57 UTC 2026","Courses","Courses","",""
