"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1676","Check displaying of dashboard page","LMS system","Mon May 25 11:46:31 UTC 2026","passed","Mon May 25 11:46:32 UTC 2026","Dashboard","Dashboard","",""
"","3739","User login with correct email and password","LMS system","Mon May 25 11:46:17 UTC 2026","passed","Mon May 25 11:46:21 UTC 2026","Authorization","Authentication","",""
"","6446","Edit course","LMS system","Mon May 25 11:46:25 UTC 2026","passed","Mon May 25 11:46:31 UTC 2026","Courses","Courses","",""
"","1777","User login with wrong email or password","LMS system","Mon May 25 11:46:15 UTC 2026","passed","Mon May 25 11:46:17 UTC 2026","Authorization","Authentication","",""
"","976","Navigation from login page to registration page","LMS system","Mon May 25 11:46:22 UTC 2026","passed","Mon May 25 11:46:23 UTC 2026","Authorization","Authentication","",""
"","1771","User login with wrong email or password","LMS system","Mon May 25 11:46:15 UTC 2026","passed","Mon May 25 11:46:17 UTC 2026","Authorization","Authentication","",""
"","1394","User login with wrong email or password","LMS system","Mon May 25 11:46:17 UTC 2026","passed","Mon May 25 11:46:19 UTC 2026","Authorization","Authentication","",""
"","2263","Registration with correct email, username and password","LMS system","Mon May 25 11:46:19 UTC 2026","passed","Mon May 25 11:46:21 UTC 2026","Registration","Authentication","",""
"","1187","Check displaying of empty courses list","LMS system","Mon May 25 11:46:23 UTC 2026","passed","Mon May 25 11:46:24 UTC 2026","Courses","Courses","",""
"","4779","Create course","LMS system","Mon May 25 11:46:24 UTC 2026","passed","Mon May 25 11:46:29 UTC 2026","Courses","Courses","",""
