"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1008","Navigation from login page to registration page","LMS system","Wed May 20 10:14:49 UTC 2026","passed","Wed May 20 10:14:50 UTC 2026","Authorization","Authentication","",""
"","1712","User login with wrong email or password","LMS system","Wed May 20 10:14:42 UTC 2026","passed","Wed May 20 10:14:44 UTC 2026","Authorization","Authentication","",""
"","2123","Registration with correct email, username and password","LMS system","Wed May 20 10:14:46 UTC 2026","passed","Wed May 20 10:14:48 UTC 2026","Registration","Authentication","",""
"","5113","Create course","LMS system","Wed May 20 10:14:51 UTC 2026","passed","Wed May 20 10:14:56 UTC 2026","Courses","Courses","",""
"","1824","User login with wrong email or password","LMS system","Wed May 20 10:14:42 UTC 2026","passed","Wed May 20 10:14:44 UTC 2026","Authorization","Authentication","",""
"","2067","Check displaying of dashboard page","LMS system","Wed May 20 10:14:58 UTC 2026","passed","Wed May 20 10:15:00 UTC 2026","Dashboard","Dashboard","",""
"","7083","Edit course","LMS system","Wed May 20 10:14:52 UTC 2026","passed","Wed May 20 10:14:59 UTC 2026","Courses","Courses","",""
"","1240","Check displaying of empty courses list","LMS system","Wed May 20 10:14:50 UTC 2026","passed","Wed May 20 10:14:51 UTC 2026","Courses","Courses","",""
"","3816","User login with correct email and password","LMS system","Wed May 20 10:14:44 UTC 2026","passed","Wed May 20 10:14:48 UTC 2026","Authorization","Authentication","",""
"","1411","User login with wrong email or password","LMS system","Wed May 20 10:14:44 UTC 2026","passed","Wed May 20 10:14:46 UTC 2026","Authorization","Authentication","",""
