"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1263","Navigation from login page to registration page","LMS system","Mon May 25 11:51:35 UTC 2026","passed","Mon May 25 11:51:36 UTC 2026","Authorization","Authentication","",""
"","3570","User login with correct email and password","LMS system","Mon May 25 11:51:33 UTC 2026","passed","Mon May 25 11:51:37 UTC 2026","Authorization","Authentication","",""
"","1555","Check displaying of empty courses list","LMS system","Mon May 25 11:51:38 UTC 2026","passed","Mon May 25 11:51:39 UTC 2026","Courses","Courses","",""
"","1546","User login with wrong email or password","LMS system","Mon May 25 11:51:33 UTC 2026","passed","Mon May 25 11:51:35 UTC 2026","Authorization","Authentication","",""
"","1624","User login with wrong email or password","LMS system","Mon May 25 11:51:31 UTC 2026","passed","Mon May 25 11:51:33 UTC 2026","Authorization","Authentication","",""
"","5588","Create course","LMS system","Mon May 25 11:51:40 UTC 2026","passed","Mon May 25 11:51:46 UTC 2026","Courses","Courses","",""
"","1594","Check displaying of dashboard page","LMS system","Mon May 25 11:51:51 UTC 2026","passed","Mon May 25 11:51:52 UTC 2026","Dashboard","Dashboard","",""
"","6913","Edit course","LMS system","Mon May 25 11:51:41 UTC 2026","passed","Mon May 25 11:51:48 UTC 2026","Courses","Courses","",""
"","1682","User login with wrong email or password","LMS system","Mon May 25 11:51:31 UTC 2026","passed","Mon May 25 11:51:33 UTC 2026","Authorization","Authentication","",""
"","1789","Registration with correct email, username and password","LMS system","Mon May 25 11:51:37 UTC 2026","passed","Mon May 25 11:51:39 UTC 2026","Registration","Authentication","",""
