"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1250","Navigation from login page to registration page","LMS system","Sat May 23 14:08:52 UTC 2026","passed","Sat May 23 14:08:53 UTC 2026","Authorization","Authentication","",""
"","1458","Registration with correct email, username and password","LMS system","Sat May 23 14:08:54 UTC 2026","passed","Sat May 23 14:08:55 UTC 2026","Registration","Authentication","",""
"","4617","Create course","LMS system","Sat May 23 14:08:56 UTC 2026","passed","Sat May 23 14:09:01 UTC 2026","Courses","Courses","",""
"","1362","User login with wrong email or password","LMS system","Sat May 23 14:08:50 UTC 2026","passed","Sat May 23 14:08:51 UTC 2026","Authorization","Authentication","",""
"","1254","Check displaying of empty courses list","LMS system","Sat May 23 14:08:55 UTC 2026","passed","Sat May 23 14:08:56 UTC 2026","Courses","Courses","",""
"","1540","Check displaying of dashboard page","LMS system","Sat May 23 14:09:05 UTC 2026","passed","Sat May 23 14:09:07 UTC 2026","Dashboard","Dashboard","",""
"","1450","User login with wrong email or password","LMS system","Sat May 23 14:08:48 UTC 2026","passed","Sat May 23 14:08:50 UTC 2026","Authorization","Authentication","",""
"","6079","Edit course","LMS system","Sat May 23 14:08:57 UTC 2026","passed","Sat May 23 14:09:03 UTC 2026","Courses","Courses","",""
"","3342","User login with correct email and password","LMS system","Sat May 23 14:08:50 UTC 2026","passed","Sat May 23 14:08:53 UTC 2026","Authorization","Authentication","",""
"","1503","User login with wrong email or password","LMS system","Sat May 23 14:08:48 UTC 2026","passed","Sat May 23 14:08:50 UTC 2026","Authorization","Authentication","",""
