"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","851","Registration with correct email, username and password","LMS system","Sat May 23 13:59:24 UTC 2026","passed","Sat May 23 13:59:25 UTC 2026","Registration","Authentication","",""
"","766","Check displaying of dashboard page","LMS system","Sat May 23 13:59:31 UTC 2026","passed","Sat May 23 13:59:32 UTC 2026","Dashboard","Dashboard","",""
"","1451","User login with wrong email or password","LMS system","Sat May 23 13:59:20 UTC 2026","passed","Sat May 23 13:59:21 UTC 2026","Authorization","Authentication","",""
"","3735","Edit course","LMS system","Sat May 23 13:59:26 UTC 2026","passed","Sat May 23 13:59:30 UTC 2026","Courses","Courses","",""
"","761","Check displaying of empty courses list","LMS system","Sat May 23 13:59:25 UTC 2026","passed","Sat May 23 13:59:25 UTC 2026","Courses","Courses","",""
"","2823","Create course","LMS system","Sat May 23 13:59:26 UTC 2026","passed","Sat May 23 13:59:29 UTC 2026","Courses","Courses","",""
"","670","Navigation from login page to registration page","LMS system","Sat May 23 13:59:23 UTC 2026","passed","Sat May 23 13:59:23 UTC 2026","Authorization","Authentication","",""
"","768","User login with wrong email or password","LMS system","Sat May 23 13:59:22 UTC 2026","passed","Sat May 23 13:59:22 UTC 2026","Authorization","Authentication","",""
"","1335","User login with wrong email or password","LMS system","Sat May 23 13:59:20 UTC 2026","passed","Sat May 23 13:59:21 UTC 2026","Authorization","Authentication","",""
"","2045","User login with correct email and password","LMS system","Sat May 23 13:59:22 UTC 2026","passed","Sat May 23 13:59:24 UTC 2026","Authorization","Authentication","",""
